json,hunt_dir,scale,task,recipe,seq_len,hidden,message_ratio,message_identity_slots,message_slots_inplace,message_pool_remainder,message_keep_local_swa,message_extra_slot_attends,global_layers,n_distractors,calibrated,arch,params,acc,step,recovered_bits,information_flow,bytes_per_input_token,prize_bits
e25_1280_ip_r8_h256_recall_extrahop/bridge_1k_recall_single.json,e25_1280_ip_r8_h256_recall_extrahop,bridge_1k,recall_single,recall_single,1280,256,8,True,True,False,False,1,1,,True,dense,2260816,0.93701171875,3200,58.936755430197834,0.9208868035968412,0.005755542522480258,64.0
e25_1280_ip_r8_h256_recall_extrahop/bridge_1k_recall_single.json,e25_1280_ip_r8_h256_recall_extrahop,bridge_1k,recall_single,recall_single,1280,256,8,True,True,False,False,1,1,,True,e18,2260813,1.0,1200,63.990768810388914,0.9998557626623268,0.006249098516639543,64.0
e25_1280_ip_r8_h256_recall_extrahop/bridge_1k_recall_single.json,e25_1280_ip_r8_h256_recall_extrahop,bridge_1k,recall_single,recall_single,1280,256,8,True,True,False,False,1,1,,True,e21,2277453,0.25048828125,3200,0.009743673205821103,0.00015224489384095473,9.515305865059671e-07,64.0
e25_1280_ip_r8_h256_recall_extrahop/bridge_1k_recall_single.json,e25_1280_ip_r8_h256_recall_extrahop,bridge_1k,recall_single,recall_single,1280,256,8,True,True,False,False,1,1,,True,e18_local,2260812,0.25048828125,3200,0.0,0.0,0.0,64.0
e25_bridge1k_1152_ip_id_match2_nd1/bridge_1k_recall.json,e25_bridge1k_1152_ip_id_match2_nd1,bridge_1k,recall,recall,1152,128,1,True,True,False,False,0,1,,False,dense,594892,0.2412109375,3200,0.0,0.0,0.0,64.0
e25_bridge1k_1280_ip_id_h256_recall/bridge_1k_recall_single.json,e25_bridge1k_1280_ip_id_h256_recall,bridge_1k,recall_single,recall_single,1280,256,1,True,True,False,False,0,1,,True,dense,2260816,1.0,250,63.96547805551014,0.9994605946173459,0.006246628716358412,64.0
e25_bridge1k_1280_ip_id_h256_recall/bridge_1k_recall_single.json,e25_bridge1k_1280_ip_id_h256_recall,bridge_1k,recall_single,recall_single,1280,256,1,True,True,False,False,0,1,,True,e18,2260813,1.0,400,63.94729084315489,0.9991764194242951,0.006244852621401844,64.0
e25_bridge1k_1280_ip_id_h256_recall/bridge_1k_recall_single.json,e25_bridge1k_1280_ip_id_h256_recall,bridge_1k,recall_single,recall_single,1280,256,1,True,True,False,False,0,1,,True,e21,2277453,1.0,800,63.942585744479814,0.9991029022574971,0.006244393139109357,64.0
e25_bridge1k_1280_ip_id_h256_recall/bridge_1k_recall_single.json,e25_bridge1k_1280_ip_id_h256_recall,bridge_1k,recall_single,recall_single,1280,256,1,True,True,False,False,0,1,,True,e18_local,2260812,0.25048828125,800,0.0023112709661339647,3.61136088458432e-05,2.2571005528652e-07,64.0
e25_bridge1k_1280_ip_id_match2_nd1/bridge_1k_recall.json,e25_bridge1k_1280_ip_id_match2_nd1,bridge_1k,recall,recall,1280,128,1,True,True,False,False,0,1,,True,dense,594892,0.98876953125,3200,62.94238344445167,0.9834747413195574,0.006146717133247234,64.0
e25_bridge1k_1280_ip_id_match2_nd1/bridge_1k_recall.json,e25_bridge1k_1280_ip_id_match2_nd1,bridge_1k,recall,recall,1280,128,1,True,True,False,False,0,1,,True,e18,594892,0.24951171875,3200,0.003101015298895982,4.845336404524972e-05,3.0283352528281074e-07,64.0
e25_bridge1k_1280_ip_id_match2_nd1/bridge_1k_recall.json,e25_bridge1k_1280_ip_id_match2_nd1,bridge_1k,recall,recall,1280,128,1,True,True,False,False,0,1,,True,e21,603212,0.26123046875,3200,0.011510278995483873,0.00017984810930443551,1.124050683152722e-06,64.0
